Cultivar Name,Female Parent,Male Parent,Breeder,Year
holly,incarnata lorayne,kermesina,franz duelli / axel frank,2009
honeymoon,kermesina,gritensis,roland fischer,2004
hot shot,vitifolia,coccinea,cor laurens,1996
hubert vranken,incarnata,white star,raoul & patrizia vranken-smeets,2011
hullettii,invalid,karl koch,1871,0
hummingbird,princeps carioca,jutta,david costen,2009
ida,(caerulea aff. oerstedii),aff. oerstedii,leopold sevcik,1996
ilonka,not registered,princeps,amethystina,0
imperatrice eugenie,alata,caerulea,c. lemaire,1858
impossible,incense,umbilicata,martine sanchez,2014
inca / red inca,0,0,0,0
incakerm,not registered,incarnata,kermesina,0
incamet,not registered,incarnata,amethystina,0
incantesimo,extinct,princeps,mucugeana,maurizio vecchia
incense,cincinnata,incarnata,robert knight,1975
incense daughter,incense,incarnata,david l. evans,0
indigo dreams,incense,caerulea,patrick worley,1996
innesii,syn.: decaisneana,w.p.m. innes,1873,0
innocence,selection of mathewsii,0,0,0
insignis,masters,1873,0,0
inspiration,tetraploid selection of incense,roland fischer,0,0
intrigue,ampullacea,(tripartita var. mollissima mixta),patrick worley,1996
inverleith,vitifolia,incarnata,andrew ensoll,0
iporanga,selection of loefgrenii,0,0,0
iralda,ben poiriers,0,0,0
irene,peter lawrence,cincinnata,ronald boender,2007
iridescence,((incense byron beauty) incarnata alba),incarnata,hal love,2015
irma,amethyst,(incarnata princeps),leopold sevcik,0
iubilaeum,incarnata,caerulea,maurizio vecchia,0
ivona,not registered,0,0,0
ivy waves,coriacea,suberosa,robert knight,2000
jala,0,0,0,0
jana,incarnata,caerulea,leopold sevcik,1995
jane lindsay,retipetala,incarnata,jane lindsay / vanderplank,0
janus,amethystina minas gerais,(loefgrenii caerulea),crystal stone / eric wortman,2011
jara,caerulea,purple haze,roland fischer,1998
jardin jungle,sweet surrender,caerulea,charles boulanger,2017
java,selection of laurifolia,robert knight / c.w. howell,1989,0
jayne t,capsularis,conzattiana,martin wills,2005
jeanette,amethyst,caerulea,patrick worley,1982
jeeny,cincinnata,caerulea constance eliott,leopold sevcik,1993
jelly joker,cincinnata,umbilicata,cor laurens,1999
jendayee,vitifolia,coccinea,sebastien sabureau,2010
jennifer grace,quadriglandulosa,poslae,ronald boender,2007
jhovi,0,0,0,0
joan marie,peter lawrence,cincinnata,ronald boender,2007
joanne,kermesina,actinia,shawn mattison,2015
jocelyne beroard,lilac sunset,princeps,sebastien sabureau,2014
john crow,subpeltata,pallens,martin wills,2004
john innes,quadrangularis,princeps,a.k. beckett,1960
john kidd,jorullensis,perfoliata,vanderplank,2016
john spalding,0,0,0,0
jolana,(incarnata princeps),caerulea,0,0
jolie,0,0,0,0
josefine,incarnata,caerulea,emil kugler,1995
jules dierckx,incarnata,white star,raoul & patrizia vranken-smeets,2011
justina,bessy,caerulea,leopold sevcik,1996
justine lyons,star of bristol,purple haze,myles irvine,2004
jutta,umbilicata,tucumanensis,henk wouters,2003
kahuna,selection of edulis,0,patrick worley rick mccain,0
kaiserin eugenia,syn.: imperatrice eugenia,0,0,0
kanga,edulis,incarnata,david l. evans,0
kangason,selection of kanga,david l. evans,0,0
karen,parritae,antioquiensis,carlos ibarra,2016
karga,incense,incarnata,kj. showers,0
karen jacobsen,incarnata,lehmanii,rick mccain,1992
karla,cincinnata,???,leopold sevcik,1996
kate adie,tucumanensis,sprucei,vanderplank,2001
kate roberts,sanguinolenta,capsularis,martin wills,2005
katherina,alata,quadrangularis,leopold sevcik,1993
kazi,incarnata,princeps,leopold sevcik,0
ken,guido van herck,0,0,0
kera,0,0,0,0
kermameth,not registered,kermesina,amethystina,0
kew gardens,syn.: kewensis,caerulea,kermesina,0
king willem alexander 6,subpeltata,gritensis,henk wouters,2001
klara,(tucumanensis princeps),caerulea grandiflora,leopold sevcik,1996
knight,selection of edulis,0,0,0
kudos,not registered,kew gardens,violacea,david costen
kunhuta,decaisneana,caerulea,leopold sevcik,0
kunigunde,???,???,leopold sevcik,1998
kursk star,alata,caerulea,alexei miroshnichenko,2019
